Bedrijf,Subsector,Kanaalmodel bevestigd (J/N),Signaalscore,Welke signalen,Beslisser,Rol,LinkedIn bedrijf,LinkedIn beslisser,Personalisatie-haak,Connectie verstuurd (datum),Geaccepteerd (J/N),DM1 (datum),DM2 (datum),DM3 (datum),Reactie (J/N),Uitkomst,Notities
Harol,Zonwering/rolluiken/poorten,,,fabrikant + verdeler-/installateursnetwerk (Apollo),,,https://www.linkedin.com/company/harol-worldwide,,,,,,,,,,Sterke fit - Diest - Winsol-parallel
Profel Group,Ramen & deuren,,,fabrikant + plaatsers/dealers (Apollo),,,https://www.linkedin.com/company/profelgroup,,,,,,,,,,Sterke fit - Koekelare - 250M
Aliplast Aluminium Systems,Aluminium profielen (ramen/gevel),,,fabrikant + verwerkersnetwerk (Apollo),,,https://www.linkedin.com/company/aliplast-nv,,,,,,,,,,Sterke fit - Lokeren
BerryAlloc,Vloeren/laminaat,,,fabrikant + dealers/retail (Apollo),,,https://www.linkedin.com/company/berryalloc-nv,,,,,,,,,,Sterke fit - Menen
Tribu,Outdoor furniture (premium),,,fabrikant + dealernetwerk (Apollo),,,https://www.linkedin.com/company/tribu,,,,,,,,,,Sterke fit - outdoor living
BOSS paints,Verf,,,fabrikant + Colora-winkelnetwerk (Apollo),,,https://www.linkedin.com/company/boss-paints,,,,,,,,,,Sterke fit - Waregem - eigen winkelnetwerk
Belgian Cycling Factory,Fietsen (Ridley),,,fabrikant + fietshandelaars (Apollo),,,https://www.linkedin.com/company/belgian-cycling-factory,,,,,,,,,,Sterke fit - Leopoldsburg
Recticel Insulation,Isolatie,,,fabrikant + bouwhandel/dealers (Apollo),,,https://www.linkedin.com/company/recticel-insulation-belgium,,,,,,,,,,Sterke fit - Wevelgem
P&V Panels,Sandwichpanelen,,,fabrikant + dealers/bouw (Apollo),,,https://www.linkedin.com/company/pnv-panels,,,,,,,,,,Sterke fit - Heusden-Zolder
Automatic Systems,Toegangscontrole/poortjes,,,fabrikant + integrators/installateurs (Apollo),,,https://www.linkedin.com/company/automatic-systems,,,,,,,,,,Sterke fit - Wavre
VASCO Benelux,Radiatoren/ventilatie,,,fabrikant + installateurs (Apollo),,,https://www.linkedin.com/company/vascogroup,,,,,,,,,,Sterke fit - Maaseik
CAIROX Belgium,Ventilatie,,,fabrikant + installateurs/dealers (Apollo),,,https://www.linkedin.com/company/cairox-belgium,,,,,,,,,,Sterke fit - Zaventem
DUCO Ventilation & Sun Control,Ventilatie/zonwering,,,fabrikant + installateurs (Apollo),,,https://www.linkedin.com/company/ducoventilationandsuncontrol,,,,,,,,,,Sterke fit - Veurne
Jaga Climate Designers,Radiatoren/klimaat,,,fabrikant + installateurs (Apollo),,,https://www.linkedin.com/company/jaga,,,,,,,,,,Sterke fit - Zomergem
Viessmann Climate Solutions BE,Warmtepompen/CV,,,fabrikant + installateurs (Apollo),,,https://www.linkedin.com/company/viessmannclimatesolutionsbe,,,,,,,,,,Sterke fit - Zaventem (groep)
Mitsubishi Electric Belgium,HVAC/warmtepompen,,,fabrikant + installateurs (Apollo),,,https://www.linkedin.com/company/mitsubishi-electric-europe-bv-belgium,,,,,,,,,,Sterke fit - Zedelgem (groot)
Groupe Atlantic Belgium,Verwarming/warmtepompen,,,fabrikant + installateurs (Apollo),,,https://www.linkedin.com/company/groupe-atlantic-belgium,,,,,,,,,,Sterke fit - groep
Nelissen Steenfabrieken,Bakstenen,,,fabrikant (Apollo),,,https://www.linkedin.com/company/nelissen-steenfabrieken,,,,,,,,,,Te verifieren - Lanaken - via bouwhandel?
Cras Woodgroup,Hout/houtbouw,,,fabrikant (Apollo),,,https://www.linkedin.com/company/craswoodgroup,,,,,,,,,,Te verifieren - Waregem - via vakhandel?
modulyss,Tapijttegels,,,fabrikant (Apollo),,,https://www.linkedin.com/company/modulyss,,,,,,,,,,Te verifieren - Zele - via contractors?
